Country;N;Prop_nonmis;Mean;SD;Min;Max;Alpha;;;
Argentina;5923;0,817;4.523;0,807;1;6;0,295;;;
Austrália;327;0,847;4.484;0,814;2.333;6;0,576;;;
Áustria;319;0,796;4,414;0,766;2.333;6;0,497;;;
Bangladesh;421;0,736;4.351;0,766;1;6;0,424;;;BFI-S afabilidade
Bélgica;622;0,867;4.451;0,841;1;6;0,581;;;Estatísticas descritivas e alfa de Cronbach para uma escala de afabilidade do BFI-S em países com mais de 200 participantes.
Bósnia e Herzegovina;1288;0,845;4.563;0,778;1;6;0,569;;;
Brasil;731;0,834;4.346;0,812;1.667;6;0,501;;;
Bulgária;4785;0,843;4.382;0,849;1.333;6;0,508;;;
Canadá;470;0,851;4.539;0,781;1.333;6;0,546;;;
Croácia;2965;0,859;4.482;0,759;1.333;6;0,55;;;
República Checa;1995;0,832;4.049;0,816;1.333;6;0,526;;;
Dinamarca;10891;0,875;4.549;0,75;1.333;6;0,34;;;
Finlândia;22933;0,891;4.517;0,781;1;6;0,604;;;
França;13475;0,872;4,421;0,872;1;6;0,569;;;
Alemanha;1443;0,868;4.351;0,803;1;6;0,531;;;
Grécia;642;0,866;4.663;0,726;2.000;6;0,466;;;
Hungria;1438;0,806;4.301;0,832;1;6;0,562;;;
Indonésia;1569;0,79;4.322;0,751;2.000;6;0,397;;;
Irlanda;216;0,847;4.527;0,764;2.000;6;0,413;;;
Itália;1749;0,866;4.451;0,81;1;6;0,518;;;
Japão;5072;0,927;3,619;0,757;1;6;0,568;;;
Coréia do Sul;487;0,786;4.351;0,807;1.667;6;0,668;;;
Kosovo;2707;0,757;4,854;0,742;1;6;0,536;;;
Lituânia;8255;0,857;4,245;0,778;1;6;0,522;;;
Malásia;567;0,81;4.372;0,783;1.333;6;0,539;;;
México;9169;0,852;4.604;0,833;1;6;0,53;;;
Holanda;1433;0,863;4,672;0,732;1;6;0,538;;;
Paquistão;360;0,711;4.391;0,751;2.000;6;0,45;;;
Panamá;759;0,809;4.740;0,834;1.333;6;0,471;;;
Filipinas;570;0,879;4.481;0,78;1.333;6;0,444;;;
Polônia;3088;0,838;4.292;0,755;1;6;0,553;;;
Portugal;1067;0,813;4.491;0,78;2.000;6;0,496;;;
Romênia;282;0,809;4.529;0,733;1.667;6;0,481;;;
Sérvia;266;0,876;4.483;0,799;2.333;6;0,531;;;
Eslováquia;942;0,807;4.583;0,779;1;6;0,583;;;
Espanha;615;0,837;4.607;0,81;1.667;6;0,461;;;
Suécia;3055;0,881;4,707;0,727;1.667;6;0,587;;;
Suíça;1188;0,883;4.391;0,786;1.667;6;0,531;;;
Taiwan;2745;0,863;4.154;0,833;1;6;0,646;;;
Turquia;1199;0,808;4.405;0,849;1.333;6;0,544;;;
Reino Unido;1500;0,841;4.485;0,799;1.667;6;0,547;;;
Estados Unidos;2314;0,869;4.571;0,791;1.667;6;0,564;;;
;;;;;;;;;;
;N = número de participantes.;Prop_nonmissing = proporção de participantes que possuem dados sobre todos os itens da escala.;Média = média da escala.;SD = desvio padrão da escala.;Min = valor mínimo da pontuação média da escala.;Máx = valor máximo da pontuação média da escala.;Alfa = alfa de Cronbach.;;;
